transaction_id,timestamp,quarter,customer_id,customer_type,category,unit_price,quantity,discount_pct,revenue,cost,cost_revenue_ratio,payment_method,transaction_fee,location_type,shipping_cost,is_returned,return_cost,satisfaction_score,profit,profit_margin_pct
TXN_010407,2023-07-01 01:02:45,1,CUST_20520,Returning,Electronics,356.88,4,8.43,1307.18,960.62,73.49,PayPal,44.44,Suburban,9.16,No,0.0,4.37,292.96000000000004,22.41
TXN_016980,2023-07-01 01:03:53,1,CUST_08722,Returning,Electronics,498.46,2,7.54,921.75,671.1,72.81,PayPal,31.34,Suburban,8.18,No,0.0,4.14,211.12999999999997,22.91
TXN_014543,2023-07-01 01:14:53,1,CUST_23465,New,Clothing,127.98,1,12.29,112.25,104.89,93.44,Credit Card,3.26,Urban,5.03,No,0.0,4.25,-0.9300000000000006,-0.83
TXN_008938,2023-07-01 01:30:58,1,CUST_12468,Returning,Home Goods,138.77,5,7.44,642.23,481.39,74.96,Credit Card,18.62,Urban,6.82,No,0.0,4.18,135.40000000000003,21.08
TXN_000673,2023-07-01 01:45:48,1,CUST_12735,Returning,Electronics,103.86,3,9.77,281.14,191.97,68.28,PayPal,9.56,Rural,13.87,No,0.0,4.02,65.73999999999998,23.38
TXN_016128,2023-07-01 02:20:13,1,CUST_15338,New,Electronics,211.26,2,10.58,377.82,292.5,77.42,Credit Card,10.96,Suburban,7.65,No,0.0,3.98,66.70999999999998,17.66
TXN_000317,2023-07-01 02:24:57,1,CUST_19181,Returning,Electronics,288.91,2,2.97,560.66,379.93,67.76,PayPal,19.06,Suburban,8.86,No,0.0,4.41,152.80999999999995,27.26
TXN_006236,2023-07-01 02:40:09,1,CUST_00213,Returning,Electronics,449.07,4,7.14,1668.03,1118.45,67.05,Credit Card,48.37,Suburban,8.1,No,0.0,4.69,493.1099999999999,29.56
TXN_009350,2023-07-01 03:03:47,1,CUST_00235,New,Clothing,141.22,1,7.7,130.35,110.39,84.69,Credit Card,3.78,Suburban,8.85,Yes,11.76,3.64,-4.430000000000007,-3.4
TXN_003200,2023-07-01 03:09:50,1,CUST_16866,Returning,Home Goods,169.73,3,3.6,490.86,394.09,80.29,PayPal,16.69,Suburban,9.74,No,0.0,4.09,70.34000000000005,14.33
TXN_008505,2023-07-01 04:10:22,1,CUST_13313,New,Clothing,93.88,1,5.01,89.18,74.79,83.86,Credit Card,2.59,Urban,6.32,No,0.0,3.84,5.48,6.14
TXN_002309,2023-07-01 05:28:06,1,CUST_09391,Returning,Home Goods,164.34,2,5.08,311.98,169.61,54.37,PayPal,10.61,Rural,13.32,No,0.0,4.79,118.44,37.96
TXN_009603,2023-07-01 06:16:36,1,CUST_11117,Returning,Home Goods,188.7,3,1.03,560.27,323.92,57.81,Gift Card,0.0,Urban,6.09,No,0.0,4.74,230.25999999999996,41.1
TXN_001940,2023-07-01 06:51:10,1,CUST_17824,New,Home Goods,199.14,1,12.39,174.47,139.3,79.84,Credit Card,5.06,Urban,5.32,No,0.0,4.24,24.78999999999999,14.21
TXN_015029,2023-07-01 07:34:27,1,CUST_01889,Returning,Electronics,268.19,2,6.11,503.61,335.98,66.71,Gift Card,0.0,Urban,5.49,No,0.0,4.49,162.14,32.2
TXN_018382,2023-07-01 07:52:14,1,CUST_03721,Returning,Clothing,95.56,4,8.03,351.55,293.8,83.57,PayPal,11.95,Suburban,8.92,No,0.0,4.0,36.879999999999995,10.49
TXN_004543,2023-07-01 08:05:24,1,CUST_06731,Returning,Home Goods,109.38,4,0.81,433.98,345.3,79.57,PayPal,14.76,Urban,5.48,No,0.0,4.62,68.44,15.77
TXN_010948,2023-07-01 08:44:27,1,CUST_09847,Returning,Electronics,134.87,4,5.84,507.97,338.06,66.55,PayPal,17.27,Urban,6.78,No,0.0,4.02,145.86,28.71
TXN_003804,2023-07-01 09:00:19,1,CUST_22932,New,Clothing,91.34,1,13.68,78.84,72.77,92.3,Gift Card,0.0,Urban,6.79,No,0.0,4.4,-0.7199999999999926,-0.91
TXN_013484,2023-07-01 09:00:55,1,CUST_09474,New,Clothing,71.91,1,8.21,66.01,61.05,92.49,PayPal,2.24,Suburban,9.22,No,0.0,4.32,-6.499999999999993,-9.85
TXN_013011,2023-07-01 09:06:46,1,CUST_05762,New,Clothing,59.94,1,6.84,55.84,46.05,82.47,Credit Card,1.62,Rural,13.9,No,0.0,4.4,-5.729999999999995,-10.26
TXN_018655,2023-07-01 09:07:40,1,CUST_10423,Returning,Home Goods,153.02,2,1.74,300.71,231.39,76.95,PayPal,10.22,Rural,11.5,No,0.0,4.31,47.599999999999994,15.83
TXN_007304,2023-07-01 09:09:41,1,CUST_14992,New,Electronics,460.07,1,14.84,391.8,276.07,70.46,PayPal,13.32,Urban,5.06,No,0.0,4.23,97.35000000000002,24.85
TXN_014069,2023-07-01 09:11:50,1,CUST_03573,New,Electronics,127.75,1,11.93,112.51,83.56,74.27,Credit Card,3.26,Suburban,7.97,No,0.0,4.06,17.720000000000006,15.75
TXN_002216,2023-07-01 09:12:05,1,CUST_07491,Returning,Electronics,385.89,3,5.2,1097.47,759.24,69.18,PayPal,37.31,Suburban,9.06,No,0.0,4.37,291.86,26.59
TXN_014124,2023-07-01 09:18:51,1,CUST_18846,New,Clothing,81.29,1,13.7,70.15,64.93,92.56,Credit Card,2.03,Urban,5.37,Yes,19.55,2.9,-21.73,-30.98
TXN_015306,2023-07-01 09:26:45,1,CUST_04644,New,Clothing,81.1,1,7.26,75.21,63.57,84.52,PayPal,2.56,Urban,6.64,No,0.0,4.11,2.4399999999999933,3.24
TXN_003543,2023-07-01 09:44:37,1,CUST_01829,Returning,Clothing,146.13,1,9.77,131.85,109.78,83.26,Credit Card,3.82,Suburban,8.92,No,0.0,4.19,9.329999999999993,7.08
TXN_009123,2023-07-01 09:49:25,1,CUST_11813,Returning,Clothing,75.99,4,3.65,292.87,248.38,84.81,Credit Card,8.49,Urban,5.37,No,0.0,4.19,30.630000000000006,10.46
TXN_002243,2023-07-01 09:53:38,1,CUST_22452,Returning,Clothing,83.26,3,3.49,241.06,211.89,87.9,PayPal,8.2,Urban,6.63,No,0.0,4.64,14.340000000000018,5.95
TXN_013537,2023-07-01 09:57:36,1,CUST_23965,Returning,Home Goods,167.07,4,4.25,639.88,432.09,67.53,PayPal,21.76,Urban,5.89,No,0.0,4.7,180.14000000000004,28.15
